学号,数据结构,体育,马原,语文,数字逻辑实验,学术英语,大学英语,高数,操作系统
5204014004,91,93,86,86,97,74,82,93,78
5701114037,80,78,83,80,93,70.4,88,63.4,60
6103114001,60,52,73.8,80,62,38.4,44,22.8,73
6103114002,72,82,83.6,82,90,69.1,60,71.8,70
6103114003,80,82,83,89,92,86.8,88,83.6,80
6103114004,80,82,76,88,95,83.9,83,86,83
6103114005,90,76.5,81.2,87,90,83.5,83,90,90
6103114006,68,76,81.8,84,93,74,94,75,70
6103114007,60,85,74,81,87,64.3,69,63.2,60
6103114008,64,65,78.2,83,90,68.3,69,74.2,72
6103114010,81,89,90.2,90,100,88.6,83,91.8,81
6103114011,76,92,80,89,98,85.9,80,79.2,79
6103114012,87,75,83.6,89,90,73.1,60,87.4,71
6103114013,66,66,80.6,87,87,68.7,60,71,65
6103114014,72,70,82.2,85,76,76.3,60,80.2,70
6103114015,60,77,84.2,88,90,78.9,78,72,68
6103114016,67,69,78.8,86,92,69.5,82,82,75
6103114018,80,76,84.2,83,92,76.1,70,97.6,75
6103114019,66,86,75.4,86,94.8,63.1,72,74.4,62
6103114020,91,74,85,86,92,78.5,93,92.8,81
6103114021,75,76,81.6,82,90,75,82,68.4,74
6103114022,82,78,82,83,87,80.6,87,90.2,84
6103114023,80,71,86.6,89,90,69.3,83,91.6,79
6103114024,64,60,85.4,81,78,69.8,60,71.4,60
6103114026,78,82,81.8,88,90,79.9,86,80.4,87
6103114027,81,72,83.2,91,96.8,71.1,92,94,82
6103114028,85,83,76,89,92,82.8,86,78.4,75
6103114029,73,71,70.2,86,90,65.1,78,66.6,77
6103114030,78,93,80,82,96.8,73.5,89,86.2,80
6103114031,69,80,74.8,80,94.8,82.4,83,81.6,71
6103114032,72,75,81.2,86,94.8,72.3,83,74.4,63
6103114033,66,76.5,71.8,83,90,68.4,90,66.8,70
6103114034,92,76,84.6,88,93,81.6,80,87,76
6103114035,76,75,81.2,86,93,75.3,92,82.6,66
6103114036,81,90,68.4,89,92,70.4,81,85.8,79
6103114040,81,72,84.4,87,93,79.6,92,88.6,86
6103214013,71,87,86,89,93,73.5,77,68.4,68
6103314016,96,71,84.2,89,93,80.4,89,96.8,89
TheEnd
